frame,time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
0,0.000000,-7.762399,-3.317443,-6.539921,-3.317443,-5.317443,-3.317443,1.222478,-5.520000,2.444956,-5.520000
1,0.020833,-7.758928,-3.320911,-6.536450,-3.320911,-5.313972,-3.320911,1.222478,-5.520000,2.444956,-5.520000
2,0.041667,-7.748517,-3.331288,-6.526039,-3.331288,-5.303561,-3.331288,1.222478,-5.520000,2.444956,-5.520000
3,0.062500,-7.731153,-3.348506,-6.508675,-3.348506,-5.286197,-3.348506,1.222478,-5.520000,2.444956,-5.520000
4,0.083333,-7.706807,-3.372459,-6.484329,-3.372459,-5.261851,-3.372459,1.222478,-5.520000,2.444956,-5.520000
5,0.104167,-7.675434,-3.403009,-6.452956,-3.403009,-5.230478,-3.403009,1.222478,-5.520000,2.444956,-5.520000
6,0.125000,-7.636973,-3.439978,-6.414495,-3.439978,-5.192017,-3.439978,1.222478,-5.520000,2.444956,-5.520000
7,0.145833,-7.591351,-3.483157,-6.368873,-3.483157,-5.146395,-3.483157,1.222478,-5.520000,2.444956,-5.520000
8,0.166667,-7.538487,-3.532300,-6.316009,-3.532300,-5.093531,-3.532300,1.222478,-5.520000,2.444956,-5.520000
9,0.187500,-7.478287,-3.587126,-6.255809,-3.587126,-5.033331,-3.587126,1.222478,-5.520000,2.444956,-5.520000
10,0.208333,-7.410655,-3.647321,-6.188177,-3.647321,-4.965699,-3.647321,1.222478,-5.520000,2.444956,-5.520000
11,0.229167,-7.335491,-3.712536,-6.113013,-3.712536,-4.890535,-3.712536,1.222478,-5.520000,2.444956,-5.520000
12,0.250000,-7.252696,-3.782390,-6.030218,-3.782390,-4.807740,-3.782390,1.222478,-5.520000,2.444956,-5.520000
13,0.270833,-7.162175,-3.856470,-5.939697,-3.856470,-4.717219,-3.856470,1.222478,-5.520000,2.444956,-5.520000
14,0.291667,-7.063840,-3.934333,-5.841362,-3.934333,-4.618884,-3.934333,1.222478,-5.520000,2.444956,-5.520000
15,0.312500,-6.957616,-4.015505,-5.735138,-4.015505,-4.512660,-4.015505,1.222478,-5.520000,2.444956,-5.520000
16,0.333333,-6.843442,-4.099485,-5.620964,-4.099485,-4.398486,-4.099485,1.222478,-5.520000,2.444956,-5.520000
17,0.354167,-6.721277,-4.185748,-5.498799,-4.185748,-4.276321,-4.185748,1.222478,-5.520000,2.444956,-5.520000
18,0.375000,-6.591100,-4.273746,-5.368622,-4.273746,-4.146144,-4.273746,1.222478,-5.520000,2.444956,-5.520000
19,0.395833,-6.452920,-4.362910,-5.230442,-4.362910,-4.007964,-4.362910,1.222478,-5.520000,2.444956,-5.520000
20,0.416667,-6.306775,-4.452655,-5.084297,-4.452655,-3.861819,-4.452655,1.222478,-5.520000,2.444956,-5.520000
21,0.437500,-6.152736,-4.542383,-4.930258,-4.542383,-3.707780,-4.542383,1.222478,-5.520000,2.444956,-5.520000
22,0.458333,-5.990910,-4.631486,-4.768432,-4.631486,-3.545954,-4.631486,1.222478,-5.520000,2.444956,-5.520000
23,0.479167,-5.821444,-4.719355,-4.598966,-4.719355,-3.376488,-4.719355,1.222478,-5.520000,2.444956,-5.520000
24,0.500000,-5.644526,-4.805377,-4.422048,-4.805377,-3.199570,-4.805377,1.222478,-5.520000,2.444956,-5.520000
25,0.520833,-5.460388,-4.888945,-4.237910,-4.888945,-3.015432,-4.888945,1.222478,-5.520000,2.444956,-5.520000
26,0.541667,-5.269305,-4.969466,-4.046827,-4.969466,-2.824349,-4.969466,1.222478,-5.520000,2.444956,-5.520000
27,0.562500,-5.071598,-5.046357,-3.849120,-5.046357,-2.626642,-5.046357,1.222478,-5.520000,2.444956,-5.520000
28,0.583333,-4.867632,-5.119062,-3.645154,-5.119062,-2.422676,-5.119062,1.222478,-5.520000,2.444956,-5.520000
29,0.604167,-4.657817,-5.187047,-3.435339,-5.187047,-2.212861,-5.187047,1.222478,-5.520000,2.444956,-5.520000
30,0.625000,-4.442607,-5.249813,-3.220129,-5.249813,-1.997651,-5.249813,1.222478,-5.520000,2.444956,-5.520000
31,0.645833,-4.222494,-5.306898,-3.000016,-5.306898,-1.777538,-5.306898,1.222478,-5.520000,2.444956,-5.520000
32,0.666667,-3.998011,-5.357881,-2.775533,-5.357881,-1.553055,-5.357881,1.222478,-5.520000,2.444956,-5.520000
33,0.687500,-3.769725,-5.402391,-2.547247,-5.402391,-1.324769,-5.402391,1.222478,-5.520000,2.444956,-5.520000
34,0.708333,-3.538232,-5.440104,-2.315754,-5.440104,-1.093276,-5.440104,1.222478,-5.520000,2.444956,-5.520000
35,0.729167,-3.304158,-5.470754,-2.081680,-5.470754,-0.859202,-5.470754,1.222478,-5.520000,2.444956,-5.520000
36,0.750000,-3.068147,-5.494133,-1.845669,-5.494133,-0.623191,-5.494133,1.222478,-5.520000,2.444956,-5.520000
37,0.770833,-2.830861,-5.510092,-1.608383,-5.510092,-0.385905,-5.510092,1.222478,-5.520000,2.444956,-5.520000
38,0.791667,-2.592972,-5.518543,-1.370494,-5.518543,-0.148016,-5.518543,1.222478,-5.520000,2.444956,-5.520000
39,0.812500,-2.406095,-5.519900,-1.185012,-5.519907,0.062965,-5.519736,1.288237,-5.519712,2.509304,-5.519725
40,0.833333,-2.372303,-5.519649,-1.152822,-5.519677,0.279162,-5.514817,1.503362,-5.514752,2.723308,-5.514847
41,0.854167,-2.338717,-5.519250,-1.120829,-5.519313,0.494166,-5.503746,1.717294,-5.503703,2.936129,-5.503942
42,0.875000,-2.306451,-5.518724,-1.088040,-5.518798,0.707411,-5.486653,1.929471,-5.486692,3.147213,-5.487138
43,0.895833,-2.274960,-5.518078,-1.055119,-5.518137,0.918346,-5.463715,2.138589,-5.463990,3.356775,-5.464515
44,0.916667,-2.243852,-5.517310,-1.022579,-5.517343,1.126439,-5.435155,2.344635,-5.435803,3.563775,-5.436306
45,0.937500,-2.213182,-5.516427,-0.990479,-5.516420,1.330061,-5.401442,2.548477,-5.402170,3.767452,-5.402797
46,0.958333,-2.183007,-5.515436,-0.958877,-5.515379,1.529119,-5.362893,2.749241,-5.363382,3.967323,-5.364292
47,0.979167,-2.153383,-5.514345,-0.927832,-5.514225,1.723910,-5.319736,2.945487,-5.319948,4.163166,-5.321076
48,1.000000,-2.124361,-5.513163,-0.897400,-5.512970,1.914011,-5.272342,3.136482,-5.272344,4.354860,-5.273422
49,1.020833,-2.095996,-5.511899,-0.867635,-5.511623,2.099031,-5.221113,3.322383,-5.220859,4.541459,-5.221847
50,1.041667,-2.068338,-5.510563,-0.838591,-5.510195,2.278612,-5.166472,3.502829,-5.165919,4.722599,-5.166781
51,1.062500,-2.041436,-5.509166,-0.810321,-5.508697,2.452431,-5.108866,3.677493,-5.107975,4.897951,-5.108672
52,1.083333,-2.015338,-5.507718,-0.782874,-5.507140,2.620200,-5.048755,3.846085,-5.047488,5.067223,-5.047987
53,1.104167,-1.990091,-5.506231,-0.756300,-5.505536,2.781662,-4.986613,4.008347,-4.984936,5.230155,-4.985203
